State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin,2016 Clinton Margin,Swing vs. 2016 Prez,2016 Total Votes Cast,Raw Votes vs. 2016 ,Final?
Florida,23,D+11,Debbie Wasserman Schultz,D,161611,99446,15309,58.50%,36.00%,5.50%,22.50%,26.10%,-3.60%,"335,744",82.30%,x
Florida,24,D+34,Frederica Wilson,D,0,0,0,100.00%,0.00%,0.00%,100.00%,67.20%,N/A,"266,851",0.00%,x
Florida,25,R+4,Mario Diaz-Balart,R,84173,128672,0,39.50%,60.50%,0.00%,-20.90%,-1.90%,-19.00%,"263,235",80.90%,x
Florida,26,D+6,Debbie Mucarsel-Powell,D,119797,115678,0,50.90%,49.10%,0.00%,1.70%,16.30%,-14.60%,"289,209",81.40%,x
Florida,27,D+5,Donna Shalala,D,130743,115588,6255,51.80%,45.80%,2.50%,6.00%,19.70%,-13.70%,"299,037",84.50%,x
Georgia,1,R+9,Buddy Carter,R,105942,144741,0,42.30%,57.70%,0.00%,-15.50%,-15.50%,0.00%,"269,568",93.00%,x
Georgia,2,D+6,Sanford Bishop,D,136699,92472,0,59.60%,40.40%,0.00%,19.30%,11.70%,7.60%,"248,104",92.40%,x
Georgia,3,R+18,Drew Ferguson,R,101010,191996,0,34.50%,65.50%,0.00%,-31.10%,-31.60%,0.50%,"311,864",94.00%,x
Georgia,4,D+24,Hank Johnson,D,227717,61092,0,78.80%,21.20%,0.00%,57.70%,53.10%,4.60%,"298,663",96.70%,x
Georgia,5,D+34,John Lewis,D,275406,0,0,100.00%,0.00%,0.00%,100.00%,73.10%,N/A,"305,755",90.10%,x
Georgia,6,R+8,Lucy McBath,D,160139,156875,18,50.50%,49.50%,0.00%,1.00%,-1.50%,2.50%,"331,262",95.70%,x
Georgia,7,R+9,Rob Woodall,R,140010,140443,0,49.90%,50.10%,0.00%,-0.20%,-6.40%,6.20%,"294,972",95.10%,x
Georgia,8,R+15,Austin Scott,R,0,198152,564,0.00%,99.70%,0.30%,-99.70%,-28.90%,N/A,"265,514",74.80%,x
Georgia,9,R+31,Doug Collins,R,57912,224661,5,20.50%,79.50%,0.00%,-59.00%,-58.50%,-0.50%,"297,215",95.10%,x
Georgia,10,R+15,Jody Hice,R,112339,190396,0,37.10%,62.90%,0.00%,-25.80%,-25.50%,-0.30%,"315,073",96.10%,x
Georgia,11,R+17,Barry Loudermilk,R,118653,191887,0,38.20%,61.80%,0.00%,-23.60%,-25.10%,1.50%,"329,312",94.30%,x
Georgia,12,R+9,Rick Allen,R,101503,148986,3,40.50%,59.50%,0.00%,-19.00%,-16.20%,-2.80%,"267,675",93.60%,x
Georgia,13,D+20,David Scott,D,223157,69760,93,76.20%,23.80%,0.00%,52.40%,44.50%,7.90%,"301,531",97.20%,x
Georgia,14,R+27,Tom Graves,R,53981,175743,0,23.50%,76.50%,0.00%,-53.00%,-52.90%,-0.10%,"255,872",89.80%,x
Hawaii,1,D+17,Ed Case,D,134650,42498,7063,73.10%,23.10%,3.80%,50.00%,32.50%,17.50%,"209,300",88.00%,x
Hawaii,2,D+19,Tulsi Gabbard,D,153271,44850,0,77.40%,22.60%,0.00%,54.70%,31.80%,22.90%,"219,637",90.20%,x
Idaho,1,R+21,Russ Fulcher,R,96922,197719,20428,30.80%,62.80%,6.50%,-32.00%,-38.30%,6.30%,"359,661",87.60%,x
Idaho,2,R+17,Mike Simpson,R,110381,170274,0,39.30%,60.70%,0.00%,-21.30%,-24.70%,3.40%,"330,594",84.90%,x
Illinois,1,D+27,Bobby Rush,D,189560,50960,17365,73.50%,19.80%,6.70%,53.70%,53.20%,0.50%,"329,221",78.30%,x
Illinois,2,D+29,Robin Kelly,D,190684,44567,0,81.10%,18.90%,0.00%,62.10%,58.60%,3.50%,"305,228",77.10%,x
Illinois,3,D+6,Dan Lipinski,D,163053,57885,2396,73.00%,25.90%,1.10%,47.10%,15.40%,31.70%,"286,582",77.90%,x
Illinois,4,D+33,Chuy Garcia,D,143895,22294,0,86.60%,13.40%,0.00%,73.20%,68.30%,4.90%,"211,143",78.70%,x
